"index","MID","PID","ID"
"618","tt0299108","nm1069826","618"
"619","tt0419992","nm0994603","619"
"620","tt1992138","nm1723225","620"
"621","tt0490210","nm0890060","621"
"622","tt0220594","nm0080315","622"
"623","tt0200087","nm0559877","623"
"624","tt1223922","nm3051114","624"
"625","tt0196069","nm0659023","625"
"626","tt1706317","nm0698184","626"
"627","tt2137241","nm2087302","627"
"628","tt0485272","nm0012541","628"
"629","tt1105733","nm0592583","629"
"630","tt6958030","nm0080333","630"
"631","tt6201292","nm1419442","631"
"632","tt1714866","nm0576548","632"
"633","tt0116950","nm0347899","633"
"634","tt1884268","nm3125271","634"
"635","tt1221139","nm0070867","635"
"636","tt0824375","nm0890060","636"
"637","tt2826126","nm2859456","637"
"638","tt0337971","nm0063357","638"
"639","tt0438875","nm1112260","639"
"640","tt0110222","nm0787453","640"
"641","tt2211173","nm2449331","641"
"642","tt0395802","nm0802143","642"
"643","tt0454435","nm1889984","643"
"644","tt5209420","nm1918059","644"
"645","tt2222550","nm1022024","645"
"646","tt3449292","nm0576559","646"
"647","tt0110076","nm0054744","647"
"648","tt2932606","nm1416352","648"
"649","tt6395306","nm6706863","649"
"650","tt1239276","nm0576559","650"
"651","tt4024944","nm1210614","651"
"652","tt0313844","nm1200832","652"
"653","tt0246879","nm0451211","653"
"654","tt2871010","nm1743389","654"
"655","tt0098167","nm0613517","655"
"656","tt0137361","nm0611531","656"
"657","tt3409440","nm0226016","657"
"658","tt0488906","nm0348495","658"
"659","tt2357926","nm0222150","659"
"660","tt0061974","nm0836899","660"
"661","tt0069671","nm0611531","661"
"662","tt0065764","nm0755997","662"
"663","tt2357489","nm0482232","663"
"664","tt0118654","nm7344577","664"
"665","tt0109922","nm0240881","665"
"666","tt0391165","nm1516005","666"
"667","tt0189592","nm0442479","667"
"668","tt0339936","nm1272846","668"
"669","tt0266875","nm0890060","669"
"670","tt0363666","nm7344577","670"
"671","tt0267905","nm0195934","671"
"672","tt0317811","nm0593967","672"
"673","tt2354407","nm0463316","673"
"674","tt0112553","nm0711745","674"
"675","tt0845448","nm0409791","675"
"676","tt3539966","nm6295660","676"
"677","tt0860454","nm1473010","677"
"678","tt1708532","nm0063357","678"
"679","tt0172574","nm0063357","679"
"680","tt0187004","nm0788858","680"
"681","tt0065936","nm0759662","681"
"682","tt0173369","nm0403981","682"
"683","tt1805263","nm4244515","683"
"684","tt0419468","nm0159162","684"
"685","tt1034449","nm1189376","685"
"686","tt3840534","nm1892252","686"
"687","tt0210659","nm0539491","687"
"688","tt0109091","nm0802692","688"
"689","tt0326600","nm0451326","689"
"690","tt1509732","nm1126979","690"
"691","tt0385782","nm0080333","691"
"692","tt1263679","nm0201903","692"
"693","tt0115568","nm0792905","693"
"694","tt3036740","nm1349318","694"
