"index","MID","title","year","rating","num_votes"
"151","tt4900716","Kapoor & Sons","2016","7.7","18959"
"152","tt8136908","Halkaa","2018","7.3","151"
"153","tt5460276","Kaabil","2017","7.1","21640"
"154","tt3771536","Shivaay","2016","6.3","8813"
"155","tt4535650","Dilwale","2015","5.2","28043"
"156","tt0265343","Monsoon Wedding","2001","7.4","21795"
"157","tt5542802","Raabta","2017","4.0","2378"
"158","tt1787988","Talaash","2012","7.3","35343"
"159","tt3678782","Badlapur","2015","7.5","18393"
"160","tt3702652","The Other Side of the Door","2016","5.3","15433"
"161","tt1839596","Rockstar","2011","7.7","33455"
"162","tt1024943","Om Shanti Om","2007","6.7","34131"
"163","tt0172684","Kuch Kuch Hota Hai","1998","7.7","41863"
"164","tt1093370","Jab We Met","2007","7.9","40758"
"165","tt4814290","Te3n","2016","7.2","9511"
"166","tt5997666","Jab Harry Met Sejal","2017","5.4","15884"
"167","tt3390572","Haider","2014","8.2","44746"
"168","tt1321869","The Lovers","2013","4.6","2807"
"169","tt5882970","Tubelight","2017","4.1","11886"
"170","tt7275232","Welcome to New York","2018","2.3","316"
"171","tt0420332","Veer-Zaara","2004","7.9","43753"
"172","tt1934231","Delhi Belly","2011","7.6","23791"
"173","tt3767372","Piku","2015","7.6","23651"
"174","tt0449994","Jodhaa Akbar","2008","7.6","25928"
"175","tt5613834","A Gentleman","2017","6.2","3918"
"176","tt1562871","Ra.One","2011","4.8","34920"
"177","tt6485666","Mersal","2017","8.1","21247"
"178","tt6588966","Hichki","2018","7.5","6096"
"179","tt1562872","Zindagi Na Milegi Dobara","2011","8.1","56579"
"180","tt1182937","Rab Ne Bana Di Jodi","2008","7.2","39110"
"181","tt3679060","Dishoom","2016","5.1","5443"
"182","tt1620933","Paan Singh Tomar","2012","8.2","28578"
"183","tt7399470","Qarib Qarib Singlle","2017","7.0","3823"
"184","tt2213054","Kai po che!","2013","7.6","23703"
"185","tt2178470","Yeh Jawaani Hai Deewani","2013","7.0","32668"
"186","tt5255710","Sanam Teri Kasam","2016","7.3","7913"
"187","tt3541262","Myeong-ryang","2014","7.2","8489"
"188","tt0367110","Swades: We, the People","2004","8.3","72397"
"189","tt6102396","Kaalakaandi","2018","6.2","1576"
"190","tt6170954","Naam Shabana","2017","6.3","4221"
"191","tt2176013","Jab Tak Hai Jaan","2012","6.8","47551"
"192","tt6580564","102 Not Out","2018","7.5","4179"
"193","tt1974382","The Challenger","2015","5.7","1122"
"194","tt6843812","Baaghi 2","2018","5.1","6809"
"195","tt7607940","Namaste England","2018","1.3","1621"
"196","tt0073707","Sholay","1975","8.2","45175"
"197","tt6978268","Omerta","2017","7.0","572"
"198","tt7412738","Nanu Ki Jaanu","2018","6.5","721"
"199","tt0031580","The Little Princess","1939","7.3","4956"
"200","tt8055888","Mard Ko Dard Nahin Hota","2018","7.5","125"
"201","tt7329858","Pari","2018","6.6","4020"
"202","tt0871510","Chak De! India","2007","8.2","64275"
